period,deaths,agegrp
2021-02-01,17633,<75
2021-01-01,20597,<75
2020-12-01,16115,<75
2020-11-01,15226,<75
2020-10-01,14109,<75
2020-09-01,13390,<75
2020-08-01,11674,<75
2020-07-01,13190,<75
2020-06-01,13157,<75
2020-05-01,14456,<75
2020-04-01,23204,<75
2020-03-01,14498,<75
2020-02-01,12721,<75
2020-01-01,15860,<75
2019-12-01,13245,<75
2019-11-01,12899,<75
2019-10-01,13587,<75
2019-09-01,12250,<75
2019-08-01,12077,<75
2019-07-01,12981,<75
2019-06-01,11898,<75
2019-05-01,13346,<75
2019-04-01,13122,<75
2019-03-01,13208,<75
2021-02-01,6989,75-79
2021-02-01,8716,80-84
2021-02-01,9980,85-89
2021-02-01,12167,90+
2021-01-01,8537,75-79
2021-01-01,11338,80-84
2021-01-01,12722,85-89
2021-01-01,15596,90+
2020-12-01,6623,75-79
2020-12-01,8556,80-84
2020-12-01,9819,85-89
2020-12-01,11547,90+
2020-11-01,6081,75-79
2020-11-01,7956,80-84
2020-11-01,8606,85-89
2020-11-01,10033,90+
2020-10-01,5507,75-79
2020-10-01,6943,80-84
2020-10-01,7665,85-89
2020-10-01,9026,90+
2020-09-01,5042,75-79
2020-09-01,6394,80-84
2020-09-01,6790,85-89
2020-09-01,8202,90+
2020-08-01,4417,75-79
2020-08-01,5625,80-84
2020-08-01,5902,85-89
2020-08-01,7134,90+
2020-07-01,4841,75-79
2020-07-01,6132,80-84
2020-07-01,6470,85-89
2020-07-01,7549,90+
2020-06-01,4974,75-79
2020-06-01,6562,80-84
2020-06-01,6959,85-89
2020-06-01,8229,90+
2020-05-01,6014,75-79
2020-05-01,8128,80-84
2020-05-01,9359,85-89
2020-05-01,11448,90+
2020-04-01,10497,75-79
2020-04-01,14349,80-84
2020-04-01,16356,85-89
2020-04-01,19088,90+
2020-03-01,5844,75-79
2020-03-01,7528,80-84
2020-03-01,8376,85-89
2020-03-01,10264,90+
2020-02-01,4885,75-79
2020-02-01,6374,80-84
2020-02-01,7586,85-89
2020-02-01,9237,90+
2020-01-01,6472,75-79
2020-01-01,8486,80-84
2020-01-01,10033,85-89
2020-01-01,12192,90+
2019-12-01,5490,75-79
2019-12-01,7195,80-84
2019-12-01,8292,85-89
2019-12-01,10064,90+
2019-11-01,5182,75-79
2019-11-01,6965,80-84
2019-11-01,7745,85-89
2019-11-01,9489,90+
2019-10-01,5394,75-79
2019-10-01,6990,80-84
2019-10-01,7793,85-89
2019-10-01,9493,90+
2019-09-01,4560,75-79
2019-09-01,6105,80-84
2019-09-01,6702,85-89
2019-09-01,7845,90+
2019-08-01,4394,75-79
2019-08-01,5768,80-84
2019-08-01,6359,85-89
2019-08-01,7673,90+
2019-07-01,4883,75-79
2019-07-01,6436,80-84
2019-07-01,7152,85-89
2019-07-01,8162,90+
2019-06-01,4380,75-79
2019-06-01,5869,80-84
2019-06-01,6475,85-89
2019-06-01,7558,90+
2019-05-01,5053,75-79
2019-05-01,6745,80-84
2019-05-01,7577,85-89
2019-05-01,8783,90+
2019-04-01,4949,75-79
2019-04-01,6744,80-84
2019-04-01,7509,85-89
2019-04-01,8843,90+
2019-03-01,4943,75-79
2019-03-01,6576,80-84
2019-03-01,7453,85-89
2019-03-01,8937,90+
